"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"13-FEB-2017 09:30","365",0.000,0.000,75.858,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","366",0.000,0.000,80.723,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","367",0.000,9.746,78.519,0.000,382.622,0.000,0.000
"13-FEB-2017 09:30","369",0.000,0.000,78.324,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","37",0.000,0.100,83.930,0.000,4.197,0.000,0.000
"13-FEB-2017 09:30","370",0.000,0.000,75.603,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","371",0.000,3.355,75.650,0.000,126.903,0.000,0.000
"13-FEB-2017 09:30","372",0.000,0.000,75.524,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","373",0.000,0.000,75.747,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","374",28.000,0.000,75.489,1056.846,0.000,0.000,0.000
"13-FEB-2017 09:30","375",0.000,24.387,75.489,0.000,920.475,0.000,0.000
"13-FEB-2017 09:30","376",0.000,0.000,75.528,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","377",0.000,0.000,75.528,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","378",0.000,12.461,77.884,0.000,485.258,0.000,0.000
"13-FEB-2017 09:30","379",0.000,0.000,77.749,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","38",0.000,21.037,90.251,0.000,949.300,0.000,0.000
"13-FEB-2017 09:30","380",0.000,0.000,77.750,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","381",0.000,4.164,79.282,0.000,165.065,0.000,0.000
"13-FEB-2017 09:30","382",0.000,0.000,79.149,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","383",0.000,1.645,80.859,0.000,66.507,0.000,0.000
"13-FEB-2017 09:30","384",0.000,0.000,80.820,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","385",0.000,2.641,80.076,0.000,105.740,0.000,0.000
"13-FEB-2017 09:30","386",0.000,0.000,80.036,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","387",31.500,0.000,77.032,1213.246,0.000,0.000,0.000
"13-FEB-2017 09:30","388",31.500,0.000,77.032,1213.246,0.000,0.000,0.000
"13-FEB-2017 09:30","389",0.000,0.000,77.032,0.000,0.000,0.000,0.000
